
,,,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"October","2019","Bottom of hill or gradient","Freezing rain, sleet, hail",1,1,1,1,0
"October","2019","Bottom of hill or gradient","Visibility limitation",3,4,6,4,0
"October","2019","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"October","2019","Bottom of hill or gradient","Other",0,0,0,0,0
"October","2019","Bottom of hill or gradient","Unknown",1,2,2,2,0
"October","2019","Other","Clear and sunny",7,11,14,9,1
"October","2019","Other","Overcast, cloudy but no precipitation",3,3,5,3,0
"October","2019","Other","Raining",0,0,0,0,0
"October","2019","Other","Snowing, not including drifting snow",4,5,7,6,0
"October","2019","Other","Freezing rain, sleet, hail",0,0,0,0,0
"October","2019","Other","Visibility limitation",0,0,0,0,0
"October","2019","Other","Strong wind",0,0,0,0,0
"October","2019","Other","Other",0,0,0,0,0
"October","2019","Other","Unknown",2,3,4,2,0
"October","2019","Unknown","Clear and sunny",333,640,893,417,1
"October","2019","Unknown","Overcast, cloudy but no precipitation",13,30,44,22,0
"October","2019","Unknown","Raining",21,33,53,25,0
"October","2019","Unknown","Snowing, not including drifting snow",20,37,47,28,0
"October","2019","Unknown","Freezing rain, sleet, hail",2,6,8,5,0
"October","2019","Unknown","Visibility limitation",0,0,0,0,0
"October","2019","Unknown","Strong wind",5,7,8,5,0
"October","2019","Unknown","Other",2,4,7,4,0
"October","2019","Unknown","Unknown",27,39,53,27,4
"October","2020","Straight and level","Clear and sunny",3709,6746,9325,4860,77
"October","2020","Straight and level","Overcast, cloudy but no precipitation",540,952,1281,670,8
"October","2020","Straight and level","Raining",752,1316,1801,966,14
"October","2020","Straight and level","Snowing, not including drifting snow",186,293,389,231,4
"October","2020","Straight and level","Freezing rain, sleet, hail",12,16,22,16,1
"October","2020","Straight and level","Visibility limitation",42,65,82,49,1
"October","2020","Straight and level","Strong wind",13,20,24,16,0
"October","2020","Straight and level","Other",8,11,16,7,1
"October","2020","Straight and level","Unknown",71,120,156,80,2
"October","2020","Straight with gradient","Clear and sunny",359,657,963,497,5
"October","2020","Straight with gradient","Overcast, cloudy but no precipitation",76,133,195,95,0
"October","2020","Straight with gradient","Raining",105,182,264,138,3
"October","2020","Straight with gradient","Snowing, not including drifting snow",21,32,39,24,0
"October","2020","Straight with gradient","Freezing rain, sleet, hail",4,5,8,5,0
"October","2020","Straight with gradient","Visibility limitation",2,3,5,5,0
"October","2020","Straight with gradient","Strong wind",0,0,0,0,0
"October","2020","Straight with gradient","Other",3,5,11,4,0
"October","2020","Straight with gradient","Unknown",1,1,1,1,0
"October","2020","Curved and level","Clear and sunny",345,486,663,428,21
"October","2020","Curved and level","Overcast, cloudy but no precipitation",92,122,159,114,1
"October","2020","Curved and level","Raining",82,113,151,100,5
"October","2020","Curved and level","Snowing, not including drifting snow",35,43,49,37,0
"October","2020","Curved and level","Freezing rain, sleet, hail",1,1,1,1,0
"October","2020","Curved and level","Visibility limitation",4,4,7,4,0
"October","2020","Curved and level","Strong wind",2,3,4,2,0
"October","2020","Curved and level","Other",0,0,0,0,0
"October","2020","Curved and level","Unknown",16,23,27,19,2
"October","2020","Curved with gradient","Clear and sunny",149,218,314,188,12
"October","2020","Curved with gradient","Overcast, cloudy but no precipitation",48,58,78,52,2
"October","2020","Curved with gradient","Raining",38,50,70,44,1
"October","2020","Curved with gradient","Snowing, not including drifting snow",14,18,29,20,1
"October","2020","Curved with gradient","Freezing rain, sleet, hail",2,2,4,2,0
"October","2020","Curved with gradient","Visibility limitation",2,2,2,2,0
"October","2020","Curved with gradient","Strong wind",0,0,0,0,0
"October","2020","Curved with gradient","Other",0,0,0,0,0
"October","2020","Curved with gradient","Unknown",4,4,4,4,0
"October","2020","Top of hill or gradient","Clear and sunny",67,106,144,86,3
"October","2020","Top of hill or gradient","Overcast, cloudy but no precipitation",19,25,36,19,1
"October","2020","Top of hill or gradient","Raining",14,19,24,17,0
"October","2020","Top of hill or gradient","Snowing, not including drifting snow",9,10,12,12,0
"October","2020","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2020","Top of hill or gradient","Visibility limitation",1,1,1,1,0
"October","2020","Top of hill or gradient","Strong wind",0,0,0,0,0
"October","2020","Top of hill or gradient","Other",0,0,0,0,0
"October","2020","Top of hill or gradient","Unknown",2,2,2,2,0
"October","2020","Bottom of hill or gradient","Clear and sunny",53,85,124,74,1
"October","2020","Bottom of hill or gradient","Overcast, cloudy but no precipitation",14,22,31,19,0
"October","2020","Bottom of hill or gradient","Raining",9,14,23,13,0
"October","2020","Bottom of hill or gradient","Snowing, not including drifting snow",8,10,16,11,0
"October","2020","Bottom of hill or gradient","Freezing rain, sleet, hail",2,2,2,2,0
"October","2020","Bottom of hill or gradient","Visibility limitation",0,0,0,0,0
"October","2020","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"October","2020","Bottom of hill or gradient","Other",0,0,0,0,0
"October","2020","Bottom of hill or gradient","Unknown",2,3,5,3,0
"October","2020","Other","Clear and sunny",7,8,11,9,0
"October","2020","Other","Overcast, cloudy but no precipitation",3,3,5,3,0
"October","2020","Other","Raining",0,0,0,0,0
"October","2020","Other","Snowing, not including drifting snow",2,4,4,2,0
"October","2020","Other","Freezing rain, sleet, hail",0,0,0,0,0
"October","2020","Other","Visibility limitation",0,0,0,0,0
"October","2020","Other","Strong wind",0,0,0,0,0
"October","2020","Other","Other",1,1,1,1,0
"October","2020","Other","Unknown",2,2,2,2,0
"October","2020","Unknown","Clear and sunny",206,378,529,247,1
"October","2020","Unknown","Overcast, cloudy but no precipitation",13,28,43,22,0
"October","2020","Unknown","Raining",18,31,41,21,0
"October","2020","Unknown","Snowing, not including drifting snow",32,58,86,36,0
"October","2020","Unknown","Freezing rain, sleet, hail",1,1,1,1,0
"October","2020","Unknown","Visibility limitation",0,0,0,0,0
"October","2020","Unknown","Strong wind",4,4,5,4,0
"October","2020","Unknown","Other",1,2,5,2,0
"October","2020","Unknown","Unknown",42,64,89,49,5
"October","2021","Straight and level","Clear and sunny",4346,8117,11029,5679,97
"October","2021","Straight and level","Overcast, cloudy but no precipitation",529,930,1239,664,8
"October","2021","Straight and level","Raining",912,1571,2235,1195,23
"October","2021","Straight and level","Snowing, not including drifting snow",15,24,46,26,0
"October","2021","Straight and level","Freezing rain, sleet, hail",2,4,5,2,0
"October","2021","Straight and level","Visibility limitation",77,135,160,88,3
"October","2021","Straight and level","Strong wind",10,15,19,13,0
"October","2021","Straight and level","Other",2,4,4,2,0
"October","2021","Straight and level","Unknown",70,119,159,80,1
"October","2021","Straight with gradient","Clear and sunny",406,762,1060,539,11
"October","2021","Straight with gradient","Overcast, cloudy but no precipitation",83,153,209,105,2
"October","2021","Straight with gradient","Raining",120,209,334,176,1
"October","2021","Straight with gradient","Snowing, not including drifting snow",6,6,11,10,0
"October","2021","Straight with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2021","Straight with gradient","Visibility limitation",7,14,18,8,1
"October","2021","Straight with gradient","Strong wind",0,0,0,0,0
"October","2021","Straight with gradient","Other",1,2,2,1,0
"October","2021","Straight with gradient","Unknown",3,4,6,4,0
"October","2021","Curved and level","Clear and sunny",347,514,713,428,20
"October","2021","Curved and level","Overcast, cloudy but no precipitation",77,95,123,86,7
"October","2021","Curved and level","Raining",93,129,194,132,4
"October","2021","Curved and level","Snowing, not including drifting snow",2,4,5,2,0
"October","2021","Curved and level","Freezing rain, sleet, hail",1,1,4,3,0
"October","2021","Curved and level","Visibility limitation",7,8,10,6,1
"October","2021","Curved and level","Strong wind",0,0,0,0,0
"October","2021","Curved and level","Other",2,3,6,5,0
"October","2021","Curved and level","Unknown",11,13,15,10,1
"October","2021","Curved with gradient","Clear and sunny",134,207,290,171,12
"October","2021","Curved with gradient","Overcast, cloudy but no precipitation",42,54,70,47,4
"October","2021","Curved with gradient","Raining",42,58,80,51,2
"October","2021","Curved with gradient","Snowing, not including drifting snow",4,5,6,4,0
"October","2021","Curved with gradient","Freezing rain, sleet, hail",2,2,5,3,0
"October","2021","Curved with gradient","Visibility limitation",2,5,5,2,0
"October","2021","Curved with gradient","Strong wind",0,0,0,0,0
"October","2021","Curved with gradient","Other",1,1,1,0,1
"October","2021","Curved with gradient","Unknown",6,7,8,6,0
"October","2021","Top of hill or gradient","Clear and sunny",71,116,141,92,3
"October","2021","Top of hill or gradient","Overcast, cloudy but no precipitation",26,43,57,34,1
"October","2021","Top of hill or gradient","Raining",22,37,51,38,0
"October","2021","Top of hill or gradient","Snowing, not including drifting snow",2,2,2,2,0
"October","2021","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2021","Top of hill or gradient","Visibility limitation",3,5,6,4,0
"October","2021","Top of hill or gradient","Strong wind",0,0,0,0,0
"October","2021","Top of hill or gradient","Other",0,0,0,0,0
"October","2021","Top of hill or gradient","Unknown",1,1,1,1,0
"October","2021","Bottom of hill or gradient","Clear and sunny",55,86,106,57,2
"October","2021","Bottom of hill or gradient","Overcast, cloudy but no precipitation",13,20,26,16,0
"October","2021","Bottom of hill or gradient","Raining",11,16,17,11,0
"October","2021","Bottom of hill or gradient","Snowing, not including drifting snow",2,3,3,2,0
"October","2021","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2021","Bottom of hill or gradient","Visibility limitation",2,3,3,2,0
"October","2021","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"October","2021","Bottom of hill or gradient","Other",0,0,0,0,0
"October","2021","Bottom of hill or gradient","Unknown",0,0,0,0,0
"October","2021","Other","Clear and sunny",9,19,21,12,0
"October","2021","Other","Overcast, cloudy but no precipitation",3,4,6,3,0
"October","2021","Other","Raining",2,4,4,2,0
"October","2021","Other","Snowing, not including drifting snow",0,0,0,0,0
"October","2021","Other","Freezing rain, sleet, hail",0,0,0,0,0
"October","2021","Other","Visibility limitation",0,0,0,0,0
"October","2021","Other","Strong wind",0,0,0,0,0
"October","2021","Other","Other",0,0,0,0,0
"October","2021","Other","Unknown",0,0,0,0,0
"October","2021","Unknown","Clear and sunny",301,568,743,368,2
"October","2021","Unknown","Overcast, cloudy but no precipitation",14,27,38,18,1
"October","2021","Unknown","Raining",21,35,63,29,1
"October","2021","Unknown","Snowing, not including drifting snow",6,8,11,7,0
"October","2021","Unknown","Freezing rain, sleet, hail",1,1,1,1,0
"October","2021","Unknown","Visibility limitation",3,3,3,3,0
"October","2021","Unknown","Strong wind",1,2,3,2,0
"October","2021","Unknown","Other",3,7,9,5,0
"October","2021","Unknown","Unknown",45,75,99,47,12
"November","2010","Straight and level","Clear and sunny",4919,9222,13531,6653,65
"November","2010","Straight and level","Overcast, cloudy but no precipitation",849,1504,2158,1125,12
"November","2010","Straight and level","Raining",1346,2400,3534,1747,11
"November","2010","Straight and level","Snowing, not including drifting snow",591,992,1398,790,7
"November","2010","Straight and level","Freezing rain, sleet, hail",87,122,155,110,1
"November","2010","Straight and level","Visibility limitation",125,213,294,178,7
"November","2010","Straight and level","Strong wind",29,42,65,42,1
"November","2010","Straight and level","Other",22,42,60,36,0
"November","2010","Straight and level","Unknown",53,91,126,61,2
"November","2010","Straight with gradient","Clear and sunny",516,948,1425,711,11
"November","2010","Straight with gradient","Overcast, cloudy but no precipitation",141,254,383,199,6
"November","2010","Straight with gradient","Raining",201,376,593,290,2
"November","2010","Straight with gradient","Snowing, not including drifting snow",127,195,289,175,2
"November","2010","Straight with gradient","Freezing rain, sleet, hail",17,17,26,23,0
"November","2010","Straight with gradient","Visibility limitation",14,19,26,19,1
"November","2010","Straight with gradient","Strong wind",4,5,12,9,0
"November","2010","Straight with gradient","Other",1,2,2,1,0
"November","2010","Straight with gradient","Unknown",6,7,10,7,0
"November","2010","Curved and level","Clear and sunny",428,602,868,545,20
"November","2010","Curved and level","Overcast, cloudy but no precipitation",128,166,239,162,4
